# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02819e-05 to 1.05413 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       2.051500008419e-02       1.471706798736e-01      -2.250192028020e+03      -2.256577612349e+03       1.497601906736e-01      -2.254871602166e+03       2.683326585621e-01       2.683326585621e-01 
       2.582672276973e-02       1.252666187779e-01      -3.031999713047e+03      -3.044764421210e+03       1.274706556518e-01      -3.041771289694e+03       2.283929473351e-01       2.283929473351e-01 
       3.249607424798e-02       1.027145635508e-01      -3.930493620040e+03      -3.953397111998e+03       1.045216935712e-01      -3.948456160206e+03       1.872665629704e-01       1.872665629704e-01 
       4.034271267166e-02       8.322547647144e-02      -4.904586371249e+03      -4.938320487579e+03       8.468982856963e-02      -4.931294735624e+03       1.517488718504e-01       1.517488718504e-01 
       4.693318991710e-02       7.200575642083e-02      -5.744380337833e+03      -5.782682667918e+03       7.327277167485e-02      -5.774655541895e+03       1.312987638048e-01       1.312987638048e-01 
       5.171732747458e-02       6.609816600931e-02      -6.405263428321e+03      -6.443563561634e+03       6.726104018899e-02      -6.435348779664e+03       1.205021061356e-01       1.205021061356e-01 
       5.566652676067e-02       6.218591686703e-02      -6.985366871948e+03      -7.021995007945e+03       6.327990704868e-02      -7.013894247617e+03       1.133615195136e-01       1.133615195136e-01 
       5.919448172593e-02       5.918623544892e-02      -7.520669019062e+03      -7.555156736132e+03       6.022731284385e-02      -7.547260924686e+03       1.078751998942e-01       1.078751998942e-01 
       6.248591393421e-02       5.661293976632e-02      -8.022595896703e+03      -8.055144087688e+03       5.760910650648e-02      -8.047429190651e+03       1.032256447370e-01       1.032256447370e-01 
       6.563871848727e-02       5.429150376770e-02      -8.492585721531e+03      -8.523859192308e+03       5.524686184242e-02      -8.516223337250e+03       9.899688907131e-02       9.899688907131e-02 
       6.871164731817e-02       5.210438564987e-02      -8.928838035424e+03      -8.959843640571e+03       5.302088149999e-02      -8.952128378122e+03       9.496427819392e-02       9.496427819392e-02 
       7.174331877643e-02       4.991285527678e-02      -9.329267753741e+03      -9.361252152081e+03       5.079115162571e-02      -9.353259601899e+03       9.101118171715e-02       9.101118171715e-02 
       7.476096442212e-02       4.777014942549e-02      -9.690446523666e+03      -9.724788508572e+03       4.861041006958e-02      -9.716299711929e+03       8.706544067829e-02       8.706544067829e-02 
       7.778491007956e-02       4.560034124074e-02      -1.001238710180e+04      -1.005047851462e+04       4.640248880199e-02      -1.004127233142e+04       8.311754889408e-02       8.311754889408e-02 
       8.083106741797e-02       4.342672145187e-02      -1.029646113741e+04      -1.033957587115e+04       4.419083428333e-02      -1.032945045708e+04       7.917996008034e-02       7.917996008034e-02 
       8.391241104852e-02       4.130213513055e-02      -1.054668094847e+04      -1.059583577582e+04       4.202869276869e-02      -1.058463105937e+04       7.528665713223e-02       7.528665713223e-02 
       8.703990033691e-02       3.921958701447e-02      -1.077168715508e+04      -1.082750958471e+04       3.990956105819e-02      -1.081512800571e+04       7.149729028445e-02       7.149729028445e-02 
       9.022307926291e-02       3.722780231729e-02      -1.098225996278e+04      -1.104487322991e+04       3.788277256708e-02      -1.103129832627e+04       6.787127809496e-02       6.787127809496e-02 
       9.347048046352e-02       3.536364011261e-02      -1.119263987831e+04      -1.126158469407e+04       3.598581202283e-02      -1.124689317767e+04       6.447306373268e-02       6.447306373268e-02 
       9.678990524986e-02       3.365420776317e-02      -1.141857248949e+04      -1.149278693827e+04       3.424631138507e-02      -1.147715162196e+04       6.135764430597e-02       6.135764430597e-02 
       1.001886222721e-01       3.212140727102e-02      -1.167568350970e+04      -1.175355083486e+04       3.268654192293e-02      -1.173723269094e+04       5.856303735010e-02       5.856303735010e-02 
       1.036735111666e-01       3.077390112257e-02      -1.197779904082e+04      -1.205729300377e+04       3.131532504864e-02      -1.204061741502e+04       5.610580913509e-02       5.610580913509e-02 
       1.072511679766e-01       2.960707339003e-02      -1.233417694273e+04      -1.241308510546e+04       3.012793516709e-02      -1.239640589814e+04       5.397422490642e-02       5.397422490642e-02 
       1.109279833762e-01       2.859085610102e-02      -1.274747535534e+04      -1.282370488455e+04       2.909389899446e-02      -1.280735516621e+04       5.212810107842e-02       5.212810107842e-02 
       1.147102011423e-01       2.770391850419e-02      -1.321171128648e+04      -1.328363686877e+04       2.819126812134e-02      -1.326787341831e+04       5.050006344263e-02       5.050006344263e-02 
       1.186039620426e-01       2.688314603375e-02      -1.371217620645e+04      -1.377898297081e+04       2.735606950011e-02      -1.376393148594e+04       4.900481956138e-02       4.900481956138e-02 
       1.226153368240e-01       2.608123397989e-02      -1.422500060430e+04      -1.428695746618e+04       2.654007325507e-02      -1.427256954756e+04       4.754526402507e-02       4.754526402507e-02 
       1.267503510158e-01       2.525551001596e-02      -1.472104502779e+04      -1.477961588794e+04       2.569974749672e-02      -1.476565197903e+04       4.603084770433e-02       4.603084770433e-02 
       1.310150036126e-01       2.435568880628e-02      -1.517109739864e+04      -1.522884624432e+04       2.478412401036e-02      -1.521489149099e+04       4.439371394493e-02       4.439371394493e-02 
       1.354152812724e-01       2.336757387853e-02      -1.555167246413e+04      -1.561190105269e+04       2.377869100788e-02      -1.559742414588e+04       4.260025669286e-02       4.260025669286e-02 
       1.399571693792e-01       2.230548428024e-02      -1.585134284660e+04      -1.591748765963e+04       2.269786880463e-02      -1.590193805544e+04       4.065878931825e-02       4.065878931825e-02 
       1.446466611302e-01       2.118720172240e-02      -1.607790102092e+04      -1.615276850661e+04       2.155994792590e-02      -1.613569859909e+04       3.862474562674e-02       3.862474562674e-02 
